TITULO_ORIGINAL,TIPO_OBRA,PAIS_OBRA,PUBLICO_TOTAL,PAIS_OBRA,Contagem,TIPO_OBRA,Publico_Total,TITULO_ORIGINAL,PUBLICO_TOTAL,PUBLICO_NIVEL,TITULO_ORIGINAL,RENDA_TOTAL,TITULO_ORIGINAL,DATA_LANCAMENTO_OBRA,MES_LANCAMENTO,RAZAO_SOCIAL_DISTRIBUIDORA,NOME_DISTRIBUIDORA
TEMPOS DE BARBÁRIE - ATO I: TERAPIA DA VINGANÇA,FICÇÃO,BRASIL,2807.0,,,,,TEMPOS DE BARBÁRIE - ATO I: TERAPIA DA VINGANÇA,2807,Alto,TEMPOS DE BARBÁRIE - ATO I: TERAPIA DA VINGANÇA,,TEMPOS DE BARBÁRIE - ATO I: TERAPIA DA VINGANÇA,2023-08-17,8,SM DISTRIBUIDORA DE FILMES LTDA,SM
VAI TER TROCO,FICÇÃO,BRASIL,4817.0,,,,,VAI TER TROCO,4817,Alto,VAI TER TROCO,,VAI TER TROCO,2023-08-17,8,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
CAPITU E O CAPITULO,FICÇÃO,BRASIL,4695.0,,,,,CAPITU E O CAPITULO,4695,Alto,CAPITU E O CAPITULO,,CAPITU E O CAPITULO,2023-07-27,7,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,PROVIDENCE
PERDIDA,FICÇÃO,BRASIL,95265.0,,,,,PERDIDA,95265,Alto,PERDIDA,,PERDIDA,2023-07-13,7,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
A PRAGA,FICÇÃO,BRASIL,1505.0,,,,,A PRAGA,1505,Alto,A PRAGA,,A PRAGA,2023-07-06,7,ELO AUDIOVISUAL SERVIÇOS LTDA,ELO
CANÇÃO AO LONGE,FICÇÃO,BRASIL,1238.0,,,,,CANÇÃO AO LONGE,1238,Alto,CANÇÃO AO LONGE,,CANÇÃO AO LONGE,2023-07-06,7,VITRINE FILMES LTDA,VITRINE
OS AVENTUREIROS - A ORIGEM,FICÇÃO,BRASIL,427090.0,,,,,OS AVENTUREIROS - A ORIGEM,427090,Alto,OS AVENTUREIROS - A ORIGEM,,OS AVENTUREIROS - A ORIGEM,2023-07-06,7,WARNER BROS. (SOUTH) INC.,WARNER
UM DIA CINCO ESTRELAS,FICÇÃO,BRASIL,17557.0,,,,,UM DIA CINCO ESTRELAS,17557,Alto,UM DIA CINCO ESTRELAS,,UM DIA CINCO ESTRELAS,2023-07-06,7,SM DISTRIBUIDORA DE FILMES LTDA,SM
TRAÇÃO,FICÇÃO,BRASIL,1147.0,,,,,TRAÇÃO,1147,Alto,TRAÇÃO,,TRAÇÃO,2023-06-29,6,CINECOLOR DO BRASIL LTDA,CINECOLOR
TINNITUS,FICÇÃO,BRASIL,1201.0,,,,,TINNITUS,1201,Alto,TINNITUS,,TINNITUS,2023-06-22,6,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,RESERVA
URUBUS,FICÇÃO,BRASIL,4973.0,,,,,URUBUS,4973,Alto,URUBUS,,URUBUS,2023-06-01,6,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,O2
